nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.014437,0.013022,0.000004,0.001411,0.014578,0.013262,0.000005,0.001311,2.000000,4.000000,4.000000
1,1024,0.008390,0.007532,0.000003,0.000855,0.008808,0.008035,0.000004,0.000769,2.000000,4.000000,4.000000
1,1024,0.006206,0.004873,0.000005,0.001328,0.006288,0.005105,0.000005,0.001178,2.000000,3.000000,4.000000
1,1024,0.015517,0.014379,0.000004,0.001134,0.014959,0.013879,0.000008,0.001072,2.000000,4.000000,4.000000
1,1024,0.008867,0.007450,0.000003,0.001414,0.009073,0.008150,0.000002,0.000921,2.000000,3.000000,4.000000
1,1024,0.010547,0.009200,0.000004,0.001343,0.010516,0.009187,0.000003,0.001326,3.000000,4.000000,4.000000
1,1024,0.007317,0.006157,0.000005,0.001155,0.007852,0.006644,0.000005,0.001203,2.000000,3.000000,4.000000
1,1024,0.014402,0.013195,0.000005,0.001202,0.014091,0.012986,0.000010,0.001095,2.000000,4.000000,4.000000
1,1024,0.008699,0.007911,0.000003,0.000785,0.009067,0.008349,0.000007,0.000711,2.000000,3.000000,4.000000
1,1024,0.013000,0.011476,0.000005,0.001519,0.012889,0.011468,0.000004,0.001417,2.000000,4.000000,4.000000
1,10240,0.008319,0.007370,0.000003,0.000946,0.008566,0.007670,0.000005,0.000891,2.000000,4.000000,4.000000
1,10240,0.006159,0.005398,0.000002,0.000759,0.006231,0.005486,0.000002,0.000743,2.000000,4.000000,4.000000
1,10240,0.005159,0.004513,0.000002,0.000644,0.005603,0.005028,0.000007,0.000568,2.000000,3.000000,3.000000
1,10240,0.004556,0.003950,0.000002,0.000604,0.004886,0.004344,0.000001,0.000541,2.000000,3.000000,3.000000
1,10240,0.004326,0.003767,0.000001,0.000558,0.004633,0.004120,0.000006,0.000507,2.000000,3.000000,3.000000
1,10240,0.013043,0.011459,0.000005,0.001579,0.013063,0.011477,0.000012,0.001574,2.000000,4.000000,4.000000
1,10240,0.013462,0.012007,0.000004,0.001451,0.013589,0.012243,0.000004,0.001342,2.000000,3.000000,4.000000
1,10240,0.008475,0.007364,0.000003,0.001108,0.009085,0.008061,0.000007,0.001017,2.000000,3.000000,3.000000
1,10240,0.006584,0.005714,0.000003,0.000867,0.006801,0.006000,0.000011,0.000790,2.000000,3.000000,4.000000
1,10240,0.013542,0.012189,0.000004,0.001349,0.013560,0.012322,0.000021,0.001217,2.000000,3.000000,3.000000
1,10240,0.008095,0.007131,0.000002,0.000962,0.008858,0.007946,0.000005,0.000907,2.000000,3.000000,3.000000
1,10240,0.006536,0.005723,0.000002,0.000811,0.006754,0.006021,0.000005,0.000728,2.000000,3.000000,4.000000
1,10240,0.005243,0.004577,0.000002,0.000664,0.005541,0.004952,0.000003,0.000586,2.000000,3.000000,3.000000
1,10240,0.013851,0.012260,0.000004,0.001587,0.014012,0.012398,0.000005,0.001609,2.000000,4.000000,4.000000
1,10240,0.008374,0.007326,0.000003,0.001045,0.008990,0.008005,0.000004,0.000981,2.000000,4.000000,4.000000
1,10240,0.006732,0.005918,0.000003,0.000811,0.007411,0.006594,0.000005,0.000812,2.000000,3.000000,4.000000
1,10240,0.005622,0.004821,0.000001,0.000800,0.005912,0.005243,0.000008,0.000661,2.000000,3.000000,3.000000
1,10240,0.004999,0.004235,0.000002,0.000762,0.005262,0.004675,0.000001,0.000586,2.000000,3.000000,3.000000
1,10240,0.004303,0.003614,0.000001,0.000688,0.004514,0.003975,0.000003,0.000536,2.000000,3.000000,4.000000
1,10240,0.014530,0.012901,0.000004,0.001625,0.014373,0.012835,0.000010,0.001528,2.000000,4.000000,4.000000
1,10240,0.008469,0.007371,0.000003,0.001095,0.009085,0.008054,0.000006,0.001025,2.000000,3.000000,4.000000
1,10240,0.007402,0.006443,0.000003,0.000956,0.007658,0.006762,0.000005,0.000891,2.000000,3.000000,3.000000
1,10240,0.006143,0.005308,0.000003,0.000832,0.006585,0.005848,0.000005,0.000732,2.000000,3.000000,4.000000
1,10240,0.004801,0.004179,0.000002,0.000620,0.005105,0.004543,0.000003,0.000559,2.000000,3.000000,3.000000
1,10240,0.004464,0.003881,0.000001,0.000582,0.004780,0.004258,0.000001,0.000521,2.000000,3.000000,3.000000
1,10240,0.011924,0.010512,0.000003,0.001409,0.011610,0.010410,0.000003,0.001197,2.000000,3.000000,3.000000
1,10240,0.007624,0.006606,0.000002,0.001016,0.008184,0.007236,0.000002,0.000946,2.000000,3.000000,3.000000
1,10240,0.013567,0.012020,0.000003,0.001544,0.013732,0.012303,0.000020,0.001409,2.000000,3.000000,4.000000
1,10240,0.011786,0.010171,0.000005,0.001610,0.007183,0.006231,0.000005,0.000947,2.000000,4.000000,4.000000
1,10240,0.005459,0.004114,0.000005,0.001340,0.005420,0.004235,0.000004,0.001181,2.000000,4.000000,4.000000
1,10240,0.015175,0.013692,0.000005,0.001478,0.014813,0.013450,0.000005,0.001358,2.000000,4.000000,4.000000
1,10240,0.014749,0.012901,0.000005,0.001843,0.014840,0.013097,0.000004,0.001739,2.000000,4.000000,4.000000
1,10240,0.008774,0.007638,0.000003,0.001133,0.009178,0.008147,0.000009,0.001022,2.000000,3.000000,3.000000
1,10240,0.006962,0.006018,0.000002,0.000942,0.007224,0.006367,0.000003,0.000854,2.000000,3.000000,3.000000
1,10240,0.006130,0.005226,0.000002,0.000902,0.006258,0.005483,0.000004,0.000771,2.000000,3.000000,4.000000
1,10240,0.014149,0.012644,0.000004,0.001501,0.014149,0.012809,0.000005,0.001335,2.000000,3.000000,4.000000
1,10240,0.008829,0.007683,0.000003,0.001143,0.009143,0.008092,0.000004,0.001047,2.000000,3.000000,3.000000
1,10240,0.006679,0.005731,0.000003,0.000945,0.006832,0.005990,0.000006,0.000836,2.000000,3.000000,4.000000
1,10240,0.005623,0.004812,0.000002,0.000809,0.005892,0.005215,0.000004,0.000673,2.000000,3.000000,4.000000
1,10240,0.005028,0.004312,0.000001,0.000715,0.005135,0.004544,0.000001,0.000590,2.000000,3.000000,4.000000
1,10240,0.004632,0.003957,0.000002,0.000673,0.004837,0.004304,0.000001,0.000532,2.000000,3.000000,3.000000
1,10240,0.013914,0.012363,0.000004,0.001547,0.013423,0.012586,0.000004,0.000833,2.000000,3.000000,4.000000
1,10240,0.015119,0.013537,0.000005,0.001577,0.014873,0.013400,0.000005,0.001468,2.000000,4.000000,4.000000
1,10240,0.008800,0.007738,0.000002,0.001060,0.009088,0.008140,0.000007,0.000941,2.000000,3.000000,4.000000
1,10240,0.013737,0.012244,0.000004,0.001489,0.014022,0.012640,0.000004,0.001378,2.000000,3.000000,4.000000
1,10240,0.008452,0.007328,0.000003,0.001121,0.009030,0.008000,0.000002,0.001028,2.000000,3.000000,3.000000
1,10240,0.006762,0.005823,0.000003,0.000936,0.006990,0.006173,0.000004,0.000813,2.000000,3.000000,3.000000
1,10240,0.005313,0.004526,0.000002,0.000785,0.005525,0.004870,0.000003,0.000652,2.000000,3.000000,3.000000
1,10240,0.011565,0.010012,0.000003,0.001550,0.011313,0.009853,0.000003,0.001457,2.000000,4.000000,4.000000
